storm_id,timestamp,frame_number,latitude,longitude,radius_km,stage,intensity,speed_kmh,direction_deg
S000131,2026-06-18 05:15:00,10,29.24457,79.50734,12.68,developing,0.569,24.11,161.5
S000136,2026-06-18 05:15:00,10,11.97765,79.8057,8.5,developing,0.458,17.44,193.8
S000146,2026-06-18 05:15:00,10,23.30207,69.73259,4.62,developing,0.123,16.14,149.2
S000150,2026-06-18 05:15:00,10,22.15069,82.01415,9.34,developing,0.186,21.34,313.6
S000165,2026-06-18 05:15:00,10,26.91962,78.78637,2.9,dissipating,0.137,22.76,110.9
S000167,2026-06-18 05:15:00,10,24.77305,93.83872,15.16,developing,0.539,17.83,230.6
S000179,2026-06-18 05:15:00,10,25.34807,92.62957,3.03,dissipating,0.098,23.1,104.2
S000187,2026-06-18 05:15:00,10,11.73673,79.84646,2.69,inactive,0.0,10.64,179.5
S000212,2026-06-18 05:15:00,10,11.3276,75.76031,3.9,developing,0.816,32.99,31.1
S000226,2026-06-18 05:15:00,10,26.67238,88.45384,7.03,developing,0.415,8.65,77.6
S000236,2026-06-18 05:15:00,10,27.06329,92.2719,6.72,dissipating,0.837,13.32,198.5
S000004,2026-06-18 05:45:00,11,11.36264,76.77595,4.9,inactive,0.0,8.33,124.6
S000011,2026-06-18 05:45:00,11,26.00492,92.18513,3.0,dissipating,0.105,27.74,229.8
S000024,2026-06-18 05:45:00,11,23.03378,93.07879,11.65,developing,0.661,33.38,62.7
S000036,2026-06-18 05:45:00,11,25.17585,86.96715,14.03,developing,0.653,29.02,183.0
S000043,2026-06-18 05:45:00,11,23.14959,79.95214,9.65,developing,0.35,23.57,219.9
S000062,2026-06-18 05:45:00,11,26.51581,86.16059,17.38,dissipating,0.802,31.71,33.2
S000070,2026-06-18 05:45:00,11,22.50432,88.34101,8.53,developing,0.685,13.87,204.7
S000097,2026-06-18 05:45:00,11,19.39855,84.8357,10.75,developing,0.312,25.26,48.9
S000131,2026-06-18 05:45:00,11,29.14155,79.54684,15.65,dissipating,0.859,24.11,161.5
S000136,2026-06-18 05:45:00,11,11.90138,79.78653,11.73,dissipating,0.886,17.44,193.8
S000146,2026-06-18 05:45:00,11,23.2396,69.77307,7.49,developing,0.613,16.14,149.2
S000150,2026-06-18 05:45:00,11,22.21699,81.939,13.61,developing,0.575,21.34,313.6
S000165,2026-06-18 05:45:00,11,26.883,78.89401,2.41,inactive,0.0,22.76,110.9
S000167,2026-06-18 05:45:00,11,24.72207,93.77033,14.14,dissipating,0.457,17.83,230.6
S000212,2026-06-18 05:45:00,11,11.45491,75.8385,2.36,dissipating,0.231,32.99,31.1
S000226,2026-06-18 05:45:00,11,26.68076,88.49639,9.38,developing,0.777,8.65,77.6
S000236,2026-06-18 05:45:00,11,27.00639,92.25047,4.29,dissipating,0.294,13.32,198.5
S000275,2026-06-18 05:45:00,11,25.47753,92.19286,3.39,developing,0.187,28.44,340.1
S000024,2026-06-18 06:15:00,12,23.10267,93.22384,14.26,developing,0.958,33.38,62.7
S000036,2026-06-18 06:15:00,12,25.04532,86.95951,11.51,dissipating,0.416,29.02,183.0
S000043,2026-06-18 06:15:00,12,23.06817,79.87801,15.18,dissipating,0.934,23.57,219.9
S000062,2026-06-18 06:15:00,12,26.63532,86.24773,14.09,dissipating,0.524,31.71,33.2
S000065,2026-06-18 06:15:00,12,18.4444,73.88596,1.5,inactive,0.0,6.65,341.1
S000070,2026-06-18 06:15:00,12,22.44754,88.31278,6.35,dissipating,0.34,13.87,204.7
S000097,2026-06-18 06:15:00,12,19.4733,84.92659,13.64,developing,0.576,25.26,48.9
S000122,2026-06-18 06:15:00,12,25.51801,91.26191,8.96,inactive,0.0,26.07,55.1
S000131,2026-06-18 06:15:00,12,29.03853,79.58633,11.54,dissipating,0.458,24.11,161.5
S000136,2026-06-18 06:15:00,12,11.8251,79.76735,6.57,dissipating,0.203,17.44,193.8
S000146,2026-06-18 06:15:00,12,23.17714,69.81355,9.12,dissipating,0.893,16.14,149.2
S000150,2026-06-18 06:15:00,12,22.2833,81.86384,17.88,developing,0.965,21.34,313.6
S000174,2026-06-18 06:15:00,12,22.7231,75.93222,3.31,inactive,0.0,21.88,313.9
S000226,2026-06-18 06:15:00,12,26.68915,88.53894,9.72,dissipating,0.829,8.65,77.6
S000236,2026-06-18 06:15:00,12,26.94949,92.22904,2.98,inactive,0.0,13.32,198.5
S000275,2026-06-18 06:15:00,12,25.59799,92.14462,5.76,developing,0.784,28.44,340.1
S000009,2026-06-18 06:45:00,13,25.47277,90.63221,8.68,developing,0.077,12.09,165.4
S000024,2026-06-18 06:45:00,13,23.17157,93.3689,11.76,dissipating,0.674,33.38,62.7
S000036,2026-06-18 06:45:00,13,24.9148,86.95188,7.09,inactive,0.0,29.02,183.0
S000043,2026-06-18 06:45:00,13,22.98674,79.80389,9.35,dissipating,0.319,23.57,219.9
S000052,2026-06-18 06:45:00,13,20.43561,85.83425,3.21,inactive,0.0,14.03,20.9
S000062,2026-06-18 06:45:00,13,26.75483,86.33486,10.8,dissipating,0.246,31.71,33.2
S000064,2026-06-18 06:45:00,13,13.27803,75.78,8.15,inactive,0.0,33.8,52.1
S000065,2026-06-18 06:45:00,13,18.47148,73.87618,2.6,developing,0.513,6.65,341.1
S000097,2026-06-18 06:45:00,13,19.54805,85.01749,16.54,developing,0.839,25.26,48.9
S000122,2026-06-18 06:45:00,13,25.56088,91.32988,12.87,developing,0.29,26.07,55.1
S000128,2026-06-18 06:45:00,13,17.28407,76.7782,4.75,inactive,0.0,19.29,191.3
S000131,2026-06-18 06:45:00,13,28.93551,79.62583,7.43,dissipating,0.057,24.11,161.5
S000146,2026-06-18 06:45:00,13,23.11467,69.85404,6.13,dissipating,0.382,16.14,149.2
S000150,2026-06-18 06:45:00,13,22.3496,81.78868,14.17,dissipating,0.626,21.34,313.6
S000151,2026-06-18 06:45:00,13,23.29285,77.41193,4.32,developing,0.068,24.91,34.6
S000174,2026-06-18 06:45:00,13,22.76181,75.88867,5.57,developing,0.455,21.88,313.9
S000226,2026-06-18 06:45:00,13,26.69754,88.5815,6.82,dissipating,0.382,8.65,77.6
S000275,2026-06-18 06:45:00,13,25.71845,92.09638,5.53,dissipating,0.725,28.44,340.1
S000009,2026-06-18 07:15:00,14,25.42006,90.64737,12.02,developing,0.363,12.09,165.4
S000024,2026-06-18 07:15:00,14,23.24046,93.51395,8.43,dissipating,0.293,33.38,62.7
S000043,2026-06-18 07:15:00,14,22.90531,79.72976,6.32,inactive,0.0,23.57,219.9
S000052,2026-06-18 07:15:00,14,20.46651,85.84683,4.31,developing,0.228,14.03,20.9
S000062,2026-06-18 07:15:00,14,26.87433,86.42199,7.89,inactive,0.0,31.71,33.2
S000064,2026-06-18 07:15:00,14,13.36614,75.89631,12.08,developing,0.322,33.8,52.1
S000065,2026-06-18 07:15:00,14,18.4998,73.86595,3.61,dissipating,0.97,6.65,341.1
S000097,2026-06-18 07:15:00,14,19.62281,85.10838,16.97,dissipating,0.878,25.26,48.9
S000122,2026-06-18 07:15:00,14,25.62815,91.43655,18.99,developing,0.746,26.07,55.1
S000128,2026-06-18 07:15:00,14,17.22838,76.76656,5.96,developing,0.17,19.29,191.3
S000146,2026-06-18 07:15:00,14,23.05221,69.89452,3.9,inactive,0.0,16.14,149.2
S000150,2026-06-18 07:15:00,14,22.41591,81.71352,9.67,dissipating,0.215,21.34,313.6
S000151,2026-06-18 07:15:00,14,23.38522,77.48131,6.73,developing,0.479,24.91,34.6
S000174,2026-06-18 07:15:00,14,22.83018,75.81174,7.37,dissipating,0.817,21.88,313.9
S000226,2026-06-18 07:15:00,14,26.70593,88.62405,4.33,inactive,0.0,8.65,77.6
S000275,2026-06-18 07:15:00,14,25.83891,92.04814,3.82,dissipating,0.295,28.44,340.1
S000009,2026-06-18 07:45:00,15,25.36735,90.66253,15.36,developing,0.649,12.09,165.4
S000024,2026-06-18 07:45:00,15,23.30935,93.65901,5.85,inactive,0.0,33.38,62.7
S000047,2026-06-18 07:45:00,15,30.68185,76.85675,10.12,developing,0.616,28.64,125.2
S000052,2026-06-18 07:45:00,15,20.52556,85.87087,6.41,developing,0.663,14.03,20.9
S000064,2026-06-18 07:45:00,15,13.45966,76.01975,16.25,developing,0.663,33.8,52.1
S000065,2026-06-18 07:45:00,15,18.52812,73.85572,2.91,dissipating,0.651,6.65,341.1
S000097,2026-06-18 07:45:00,15,19.69756,85.19927,13.54,dissipating,0.566,25.26,48.9
S000099,2026-06-18 07:45:00,15,31.61075,74.87018,1.88,inactive,0.0,15.29,89.3
S000122,2026-06-18 07:45:00,15,25.69543,91.54323,20.85,dissipating,0.884,26.07,55.1
S000128,2026-06-18 07:45:00,15,17.14315,76.74876,7.81,developing,0.429,19.29,191.3
S000133,2026-06-18 07:45:00,15,25.08266,88.17846,7.7,developing,0.052,33.05,76.2
S000150,2026-06-18 07:45:00,15,22.48221,81.63836,7.31,inactive,0.0,21.34,313.6
S000151,2026-06-18 07:45:00,15,23.47758,77.5507,9.14,developing,0.89,24.91,34.6
S000174,2026-06-18 07:45:00,15,22.89856,75.7348,4.54,dissipating,0.247,21.88,313.9
S000244,2026-06-18 07:45:00,15,26.34261,94.51313,7.8,inactive,0.0,13.79,207.4
S000275,2026-06-18 07:45:00,15,25.95937,91.9999,2.65,inactive,0.0,28.44,340.1
S000009,2026-06-18 08:15:00,16,25.31464,90.67769,18.7,developing,0.935,12.09,165.4
S000047,2026-06-18 08:15:00,16,30.60748,76.97937,8.71,dissipating,0.437,28.64,125.2
S000052,2026-06-18 08:15:00,16,20.5846,85.8949,7.74,dissipating,0.939,14.03,20.9
S000064,2026-06-18 08:15:00,16,13.55318,76.14319,20.33,dissipating,0.997,33.8,52.1
S000065,2026-06-18 08:15:00,16,18.55645,73.84549,2.21,dissipating,0.333,6.65,341.1
S000097,2026-06-18 08:15:00,16,19.77231,85.29016,10.12,dissipating,0.255,25.26,48.9
S000099,2026-06-18 08:15:00,16,31.61121,74.9134,2.61,developing,0.259,15.29,89.3
S000122,2026-06-18 08:15:00,16,25.7627,91.6499,17.32,dissipating,0.621,26.07,55.1
S000128,2026-06-18 08:15:00,16,17.05791,76.73096,9.66,developing,0.689,19.29,191.3
S000133,2026-06-18 08:15:00,16,25.1181,88.33809,13.73,developing,0.614,33.05,76.2
S000151,2026-06-18 08:15:00,16,23.56995,77.62009,8.11,dissipating,0.715,24.91,34.6
S000199,2026-06-18 08:15:00,16,25.71493,94.15945,3.27,inactive,0.0,9.34,295.5
S000207,2026-06-18 08:15:00,16,20.47076,85.94291,7.15,inactive,0.0,5.93,152.6
S000244,2026-06-18 08:15:00,16,26.29322,94.48455,12.36,developing,0.39,13.79,207.4
S000009,2026-06-18 08:45:00,17,25.26193,90.69285,15.84,dissipating,0.691,12.09,165.4
S000032,2026-06-18 08:45:00,17,22.06526,82.22434,4.89,inactive,0.0,18.18,23.7
S000047,2026-06-18 08:45:00,17,30.5331,77.102,5.26,inactive,0.0,28.64,125.2
S000052,2026-06-18 08:45:00,17,20.64365,85.91894,6.44,dissipating,0.669,14.03,20.9
S000064,2026-06-18 08:45:00,17,13.6467,76.26664,17.33,dissipating,0.751,33.8,52.1
S000065,2026-06-18 08:45:00,17,18.58477,73.83527,1.5,dissipating,0.014,6.65,341.1
S000096,2026-06-18 08:45:00,17,26.776,88.36885,2.7,inactive,0.0,21.56,237.7
S000097,2026-06-18 08:45:00,17,19.84706,85.38105,7.32,inactive,0.0,25.26,48.9
S000099,2026-06-18 08:45:00,17,31.61205,74.99428,3.97,developing,0.742,15.29,89.3
S000108,2026-06-18 08:45:00,17,26.73052,88.51287,8.89,developing,0.109,32.35,164.8
S000122,2026-06-18 08:45:00,17,25.82997,91.75658,13.78,dissipating,0.358,26.07,55.1
S000128,2026-06-18 08:45:00,17,16.97268,76.71316,11.51,developing,0.949,19.29,191.3
S000133,2026-06-18 08:45:00,17,25.15354,88.49771,15.1,dissipating,0.743,33.05,76.2
S000151,2026-06-18 08:45:00,17,23.66232,77.68947,5.82,dissipating,0.325,24.91,34.6
S000199,2026-06-18 08:45:00,17,25.72519,94.1356,4.47,developing,0.245,9.34,295.5
S000207,2026-06-18 08:45:00,17,20.4564,85.95086,11.15,developing,0.374,5.93,152.6
S000244,2026-06-18 08:45:00,17,26.23806,94.45265,17.46,developing,0.826,13.79,207.4
S000245,2026-06-18 08:45:00,17,27.32612,88.5839,11.41,developing,0.483,30.26,296.1
S000268,2026-06-18 08:45:00,17,22.57898,88.26392,9.64,developing,0.033,34.13,55.7
S000009,2026-06-18 09:15:00,18,25.20922,90.70801,11.18,dissipating,0.291,12.09,165.4
S000032,2026-06-18 09:15:00,18,22.1044,82.24291,7.27,developing,0.323,18.18,23.7
S000044,2026-06-18 09:15:00,18,30.86229,75.92519,4.29,developing,0.066,8.88,34.2
S000052,2026-06-18 09:15:00,18,20.70269,85.94298,5.14,dissipating,0.399,14.03,20.9
S000061,2026-06-18 09:15:00,18,21.15465,79.19041,1.59,inactive,0.0,7.86,81.6
S000064,2026-06-18 09:15:00,18,13.74022,76.39008,14.33,dissipating,0.506,33.8,52.1
S000069,2026-06-18 09:15:00,18,9.85918,78.0845,3.34,developing,0.271,28.07,143.1
S000096,2026-06-18 09:15:00,18,26.74847,88.32012,3.88,developing,0.29,21.56,237.7
S000099,2026-06-18 09:15:00,18,31.61289,75.07516,4.25,dissipating,0.841,15.29,89.3
S000108,2026-06-18 09:15:00,18,26.58985,88.55554,18.29,developing,0.93,32.35,164.8
S000122,2026-06-18 09:15:00,18,25.89725,91.86325,10.25,dissipating,0.095,26.07,55.1
S000128,2026-06-18 09:15:00,18,16.88745,76.69536,10.5,dissipating,0.806,19.29,191.3
S000133,2026-06-18 09:15:00,18,25.18898,88.65734,7.14,inactive,0.0,33.05,76.2
S000142,2026-06-18 09:15:00,18,23.67484,86.18196,5.56,developing,0.193,25.41,219.6
S000151,2026-06-18 09:15:00,18,23.75469,77.75886,3.92,inactive,0.0,24.91,34.6
S000199,2026-06-18 09:15:00,18,25.7433,94.09346,6.59,developing,0.679,9.34,295.5
S000200,2026-06-18 09:15:00,18,25.56763,91.95632,4.28,inactive,0.0,17.29,106.9
S000207,2026-06-18 09:15:00,18,20.43267,85.964,17.78,developing,0.992,5.93,152.6
S000244,2026-06-18 09:15:00,18,26.18291,94.42074,16.9,dissipating,0.778,13.79,207.4
S000245,2026-06-18 09:15:00,18,27.38614,88.44619,6.61,inactive,0.0,30.26,296.1
S000268,2026-06-18 09:15:00,18,22.66556,88.40151,14.05,developing,0.353,34.13,55.7
S000008,2026-06-18 09:45:00,19,25.4792,90.61651,4.03,inactive,0.0,25.98,335.8
S000009,2026-06-18 09:45:00,19,25.15651,90.72317,7.78,inactive,0.0,12.09,165.4
S000032,2026-06-18 09:45:00,19,22.17936,82.27847,11.81,developing,0.942,18.18,23.7
S000044,2026-06-18 09:45:00,19,30.89536,75.95139,8.0,developing,0.699,8.88,34.2
S000052,2026-06-18 09:45:00,19,20.76173,85.96702,3.83,dissipating,0.129,14.03,20.9
S000061,2026-06-18 09:45:00,19,21.15979,79.22765,2.75,developing,0.487,7.86,81.6
S000064,2026-06-18 09:45:00,19,13.83374,76.51352,11.32,dissipating,0.26,33.8,52.1
S000066,2026-06-18 09:45:00,19,26.15277,85.90317,5.53,inactive,0.0,32.77,213.9
S000069,2026-06-18 09:45:00,19,9.75805,78.16153,5.58,developing,0.899,28.07,143.1
S000096,2026-06-18 09:45:00,19,26.69652,88.22818,6.1,developing,0.836,21.56,237.7
S000099,2026-06-18 09:45:00,19,31.61374,75.15604,3.29,dissipating,0.5,15.29,89.3
S000108,2026-06-18 09:45:00,19,26.44918,88.59821,13.21,dissipating,0.486,32.35,164.8
S000128,2026-06-18 09:45:00,19,16.80221,76.67755,8.78,dissipating,0.565,19.29,191.3
S000142,2026-06-18 09:45:00,19,23.58663,86.10229,8.9,developing,0.71,25.41,219.6
S000157,2026-06-18 09:45:00,19,26.69492,88.46984,7.08,inactive,0.0,25.23,278.0
S000190,2026-06-18 09:45:00,19,25.51286,92.16199,1.81,inactive,0.0,6.77,320.4
S000199,2026-06-18 09:45:00,19,25.7614,94.05132,7.42,dissipating,0.847,9.34,295.5
S000200,2026-06-18 09:45:00,19,25.5499,92.02104,6.04,developing,0.275,17.29,106.9
S000207,2026-06-18 09:45:00,19,20.40894,85.97713,10.21,dissipating,0.286,5.93,152.6
S000217,2026-06-18 09:45:00,19,23.20237,87.88095,3.98,developing,0.026,25.88,90.8
S000244,2026-06-18 09:45:00,19,26.12775,94.38883,12.57,dissipating,0.408,13.79,207.4
S000252,2026-06-18 09:45:00,19,26.56307,92.8606,3.59,developing,0.513,23.76,118.6
S000254,2026-06-18 09:45:00,19,18.46392,79.11394,4.6,inactive,0.0,20.84,332.6
S000268,2026-06-18 09:45:00,19,22.75214,88.5391,18.45,developing,0.673,34.13,55.7
S000001,2026-06-18 10:15:00,20,24.87805,93.98466,1.64,inactive,0.0,34.6,6.3
S000008,2026-06-18 10:15:00,20,25.54177,90.58538,7.06,developing,0.5,25.98,335.8
S000032,2026-06-18 10:15:00,20,22.25431,82.31404,7.43,dissipating,0.345,18.18,23.7
S000044,2026-06-18 10:15:00,20,30.92843,75.97758,7.6,dissipating,0.631,8.88,34.2
S000061,2026-06-18 10:15:00,20,21.16498,79.26519,3.92,developing,0.978,7.86,81.6
S000064,2026-06-18 10:15:00,20,13.92726,76.63696,8.32,dissipating,0.014,33.8,52.1
S000066,2026-06-18 10:15:00,20,26.08812,85.85472,7.8,developing,0.274,32.77,213.9
S000069,2026-06-18 10:15:00,20,9.65691,78.23856,3.82,dissipating,0.404,28.07,143.1
S000096,2026-06-18 10:15:00,20,26.64458,88.13625,5.45,dissipating,0.677,21.56,237.7
S000099,2026-06-18 10:15:00,20,31.61458,75.23692,2.33,dissipating,0.159,15.29,89.3
S000108,2026-06-18 10:15:00,20,26.30852,88.64088,7.64,inactive,0.0,32.35,164.8
S000128,2026-06-18 10:15:00,20,16.71698,76.65975,7.06,dissipating,0.324,19.29,191.3
S000135,2026-06-18 10:15:00,20,11.61755,92.8219,5.86,inactive,0.0,10.33,303.0
S000142,2026-06-18 10:15:00,20,23.49842,86.02262,9.4,dissipating,0.787,25.41,219.6
